hour,signal,cosinorx_2,cosinory_15_2
0,35.75917073311306,0,29.867266863163515
1,45.31224444826615,1,39.58995235500714
2,45.67977499102772,2,50.03020977120957
3,58.030648375586615,3,60.476552822197746
4,68.18765283788262,4,70.21708049244498
5,79.68255386492778,5,78.58799191820694
6,83.93060290984987,6,85.01882331940321
7,89.46200087653641,7,89.0713241634936
8,86.14360715524617,8,90.46932321502767
9,88.3858893249006,9,89.11754914894601
10,77.88415406442418,10,85.10812313393984
11,76.40857979658603,11,78.71428092704207
12,62.140064959055266,12,70.3717523083289
13,60.37915290900104,13,60.64906681648529
14,53.62392232147832,14,50.20880940028286
15,32.961107992660466,15,39.762466349294684
16,33.043428376008954,16,30.02193867904746
17,23.96494637932108,17,21.65102725328549
18,22.703571413120383,18,15.220195852089212
19,7.664193694091043,19,11.167695007998816
20,10.1823321533302,20,9.769695956464751
21,11.22893702086262,21,11.1214700225464
22,17.53640553523515,22,15.130896037552564
23,26.460181643864317,23,21.524738244450333
24,26.804300789685133,24,29.867266863163508
25,44.399144083492416,25,39.58995235500713
26,43.554751503187994,26,50.03020977120954
27,58.44355398450546,27,60.476552822197704
28,63.83082154639685,28,70.21708049244495
29,79.59462973148689,29,78.58799191820692
30,85.64048302696428,30,85.0188233194032
31,84.28439118761752,31,89.0713241634936
32,99.69467874704549,32,90.46932321502767
33,95.50724986622022,33,89.11754914894604
34,90.24705430379542,34,85.10812313393987
35,80.64734340271077,35,78.71428092704211
36,59.97125269918011,36,70.37175230832891
37,65.72811150692567,37,60.64906681648529
38,60.833351628317075,38,50.208809400282874
39,38.58925345421523,39,39.76246634929471
40,23.417098945109974,40,30.0219386790475
41,25.780091354686213,41,21.65102725328552
42,23.46565938036325,42,15.220195852089212
43,16.336546701476625,43,11.167695007998816
44,9.534108605623304,44,9.769695956464748
45,19.132789188270223,45,11.12147002254639
46,21.043950273227907,46,15.130896037552542
47,33.30410914900103,47,21.5247382444503
48,39.08637800501634,48,29.867266863163497
49,37.38616842048394,49,39.589952355007114
50,46.229232204852245,50,50.030209771209535
51,51.88881952767237,51,60.476552822197704
52,60.07677711552749,52,70.21708049244492
53,73.59606776979028,53,78.5879919182069
54,86.541563562253,54,85.01882331940317
55,88.1650055458077,55,89.07132416349359
56,83.94638698052782,56,90.46932321502766
57,91.46240576060666,57,89.11754914894603
58,84.67141385766965,58,85.10812313393987
59,82.48701202599204,59,78.71428092704211
60,75.03585544328138,60,70.37175230832898
61,69.66497720572154,61,60.649066816485316
62,34.843953390352354,62,50.20880940028289
63,37.02649223715296,63,39.76246634929478
64,28.633177042365045,64,30.021938679047505
65,14.427107690501833,65,21.651027253285477
66,13.772588460539898,66,15.220195852089255
67,13.574778329873034,67,11.167695007998823
68,-4.228483598640162,68,9.769695956464755
69,5.52719498847366,69,11.121470022546387
70,15.661095830777134,70,15.130896037552493
