group,response
Control,88.35409917229877
Control,110.43391404946388
Control,98.58364196425984
Control,103.91507280805419
Control,109.05617829887909
Control,114.0669840780494
Control,103.350539995663
Control,104.258782354025
Control,82.54903144096876
Control,71.38165928601977
Control,109.1969865677252
Control,81.43654160925614
Control,100.35730645275812
Control,111.21035932667141
Control,97.44189267649244
Control,120.79478217238284
Control,111.45338405772141
Control,100.87399730922665
Control,114.89516685557615
Control,70.72729811776948
Control,84.46024018551464
Control,96.95829469149466
Control,98.11303841147635
Control,102.36627278997128
Control,92.78147339270062
Control,103.70236887793821
Control,117.696806255881
Control,99.5191646386902
Control,95.13757987996719
Control,110.7907145534499
Control,91.20141228435503
Control,83.24054927694172
Control,88.49786348597313
Control,99.35421117313963
Control,94.89765278039323
Control,111.39605506920576
Control,88.61795067388164
Control,113.37287994972387
Control,96.78200962106635
Control,119.23595873039221
Control,80.52012782322407
Control,94.33924513947063
Control,92.96893575232882
Control,106.86956805974022
Control,137.76545256753985
Treatment,128.0307869824795
Treatment,96.27423998191108
Treatment,99.69058915195845
Treatment,102.90392702051255
Treatment,127.39335622715552
Treatment,119.13797937739659
Treatment,112.47142790623965
Treatment,116.48859508903183
Treatment,84.38228710242444
Treatment,113.39666537133768
Treatment,89.47675778523217
Treatment,127.33619802876365
Treatment,121.12679975751524
Treatment,113.24024086563746
Treatment,112.26078302399917
Treatment,129.88313388203676
Treatment,134.3919114810978
Treatment,103.92231902026221
Treatment,118.08281885594705
Treatment,113.0424187185552
Treatment,113.29739138368411
Treatment,112.93162799689782
Treatment,80.14861889432882
Treatment,100.80453242125601
Treatment,118.12066482415075
Treatment,111.09416423213518
Treatment,88.71970960242427
Treatment,101.67976650383522
Treatment,116.0299492284764
Treatment,85.46140073434674
Treatment,102.56860896400569
Treatment,128.71270483911383
Treatment,94.15883751901438
Treatment,121.82927148063601
Treatment,95.67633861937259
Treatment,115.35632208597063
Treatment,129.17037421980964
Treatment,112.17064217430361
Treatment,93.10168796945565
Treatment,124.41896237028934
Treatment,122.99118395730108
Treatment,85.60819595522338
Treatment,127.12913847635588
Treatment,116.43773936095903
Treatment,107.47621179001308
