x,y
0,-1.4757336475094274
0.5,3.7710768191641106
1,2.1679805457229886
1.5,8.089659767811693
2,4.986124601660677
2.5,3.767606671226349
3,4.049141260709684
3.5,10.660763175795427
4,11.277584735950036
4.5,11.739333716760987
5,9.608354090473313
5.5,-1.778723133107924
6,13.118486072294312
6.5,3.047631881188794
7,14.490485764925136
7.5,7.468263010310834
8,25.683778830896195
8.5,16.208798256206958
9,19.84654171941657
9.5,16.974464423366793
10,26.966740935146948
10.5,22.627306828908125
11,15.287970837140298
11.5,21.948010536960247
12,15.36854032160703
12.5,14.28370665159635
13,27.504189587783667
13.5,21.062794938107587
14,14.810131309300587
14.5,22.075549919629175
15,17.401890997217837
15.5,26.125407027137683
16,25.119384401431027
16.5,22.487158256099704
17,26.3939235173708
17.5,29.219981542141507
18,39.97720788951978
18.5,19.81372635149151
19,29.890568250805934
19.5,34.28889438726792
20,39.014012471631254
20.5,48.488735794740805
21,32.180939820092924
21.5,30.775149347613706
22,39.78490761670667
22.5,32.31182954128645
23,47.40043530355028
23.5,43.16272639071767
24,33.86253120606221
24.5,33.090973345972465
25,41.89202219210919
25.5,36.8042074821823
26,28.08136386347571
26.5,28.960547791956632
27,44.003282432707174
27.5,35.907365786000696
28,40.660619730393755
28.5,47.97627390863211
29,53.22623414272415
29.5,49.94991622546435
