hour,component A (24.8 h),component B (23.4 h),recorded activity
0,35.88509115111157,33.90302889086043,69.78812004197201
1,43.54983939945321,44.18635658690842,87.73619598636162
2,34.789867007719174,37.01813711983115,71.80800412755033
3,36.96610114187193,39.808218303354934,76.77431944522687
4,41.023930498597196,36.91932835612665,77.94325885472384
5,38.867036799156516,42.40814556825269,81.2751823674092
6,34.67668700053584,41.11545218275761,75.79213918329344
7,42.05594802062362,34.80970870940643,76.86565673003005
8,0,6.839992633684971,6.839992633684971
9,0,4.9790050939672845,4.9790050939672845
10,0,0,0
11,0,5.400688860217704,5.400688860217704
12,0.33942487359840556,0,0.33942487359840556
13,0,7.914194134994407,7.914194134994407
14,0.5387061945586078,0,0.5387061945586078
15,0.5172119344493267,0,0.5172119344493267
16,0,5.377717515148801,5.377717515148801
17,8.499389738048448,2.937596766720211,11.436986504768658
18,6.1271584505564,3.942089319370866,10.069247769927266
19,1.5505142365512858,0,1.5505142365512858
20,1.9276387242339996,5.650143609587445,7.577782333821445
21,5.886920714328379,0,5.886920714328379
22,3.240734273959154,4.339672895435361,7.5804071693945145
23,0,2.03944021096466,2.03944021096466
24,0.8549321199513777,44.85746274241161,45.71239486236299
25,32.923372909563035,46.80801510996254,79.73138801952558
26,40.180578070744936,34.95110608082453,75.13168415156946
27,41.974840241506534,40.070914536288456,82.045754777795
28,33.588434225642345,33.59496248981061,67.18339671545296
29,38.83943963826222,37.722510844796005,76.56195048305823
30,38.47417243394374,41.37101254816314,79.84518498210687
31,38.37063174444904,3.832291853341867,42.20292359779091
32,37.11106173173566,1.893640356171391,39.00470208790705
33,0,4.057734969149681,4.057734969149681
34,0,0,0
35,0,3.96794175677047,3.96794175677047
36,3.1115462326370187,0,3.1115462326370187
37,2.8419448873432387,2.1468736182381893,4.988818505581428
38,9.94243826934925,2.5547849466102255,12.497223215959476
39,0.5386761049709412,3.5743079692542583,4.112984074225199
40,0,0,0
41,4.2865361020243595,2.212515619661604,6.499051721685964
42,0,4.442215138483218,4.442215138483218
43,0,8.070365397093395,8.070365397093395
44,8.391005591233496,6.470474785718024,14.86148037695152
45,2.3274510000002633,0,2.3274510000002633
46,2.7229314091972885,1.37617920927317,4.099110618470458
47,5.092649668084976,39.23241941767762,44.32506908576259
48,0,39.39106731714252,39.39106731714252
49,0.027903956965461996,44.28519475222922,44.31309870919468
50,39.54381935685999,42.62872491266088,82.17254426952087
51,44.75389847870632,43.143911413705666,87.89780989241198
52,40.257070889821044,45.611780122576995,85.86885101239804
53,42.23097731080548,39.68092931566317,81.91190662646865
54,44.02598825688911,0,44.02598825688911
55,36.924868040107846,0.8806032878977554,37.8054713280056
56,33.83975732713462,6.669321710928748,40.50907903806337
57,36.9526459047899,0,36.9526459047899
58,0,0.6254429455959409,0.6254429455959409
59,7.865923625898684,1.0886331507359621,8.954556776634647
60,7.853591344530908,7.821464605928721,15.67505595045963
61,4.029521995765925,3.7281856656708294,7.757707661436754
62,0,2.835707140216621,2.835707140216621
63,0,9.787460276613835,9.787460276613835
64,0,8.001222175088486,8.001222175088486
65,10.786442659150357,0,10.786442659150357
66,6.421046763679143,1.145383455677119,7.566430219356262
67,0,6.207755828170356,6.207755828170356
68,8.08224786510197,5.327007527112745,13.409255392214714
69,4.660202615779383,4.996916445010831,9.657119060790215
70,0.558449946148188,0.927606305458673,1.486056251606861
71,2.121777146961586,41.03224920480844,43.15402635177002
72,3.2570244571152953,40.31755443862842,43.57457889574371
73,12.008927326928152,42.014373953243144,54.023301280171296
74,0,29.918630089454638,29.918630089454638
75,42.23956206726674,40.177627056322635,82.41718912358937
76,38.029903268555785,39.668849127986434,77.69875239654222
77,41.51142636172328,40.92707853411858,82.43850489584186
78,38.91353753852597,0,38.91353753852597
79,38.47177978427173,5.9598432113159685,44.4316229955877
80,40.1658088002372,0.8468360133339305,41.01264481357113
81,37.450771616535796,0,37.450771616535796
82,8.805684763961086,1.3073490060979909,10.113033770059076
83,3.4991150695269457,0,3.4991150695269457
84,4.464844619156167,2.7529333155999822,7.217777934756149
85,6.497282525482504,2.818602470103953,9.315884995586456
86,4.230420545418854,0,4.230420545418854
87,8.323241956863662,4.645144386844072,12.968386343707733
88,0.3869014925380294,8.745018369460475,9.131919861998504
89,1.0336032751289812,1.1040846190292215,2.1376878941582027
90,1.7567003412089077,8.780844600568138,10.537544941777046
91,0.035985620340300395,5.6522497755157435,5.688235395856044
92,0.07548287115998487,1.6619558960935303,1.7374387672535152
93,6.57475470292567,2.9745710659089464,9.549325768834617
94,2.4320006194256787,46.3730466561489,48.80504727557458
95,7.420502274566496,37.83750031487761,45.258002589444104
96,0.40069307095348305,41.14288323079725,41.54357630175073
97,5.279949563499697,43.59290647426761,48.872856037767306
98,0,38.89252743698393,38.89252743698393
99,4.673522568377148,46.78076727141547,51.45428983979262
100,41.62444195919071,43.52767755715371,85.15211951634441
101,38.67107610737093,0,38.67107610737093
102,31.68077610705226,0,31.68077610705226
103,37.600244660726595,0,37.600244660726595
104,36.25513257875856,6.447860627569772,42.70299320632834
105,39.79751117690432,7.5363330859183835,47.33384426282271
106,44.43113200293635,3.717113752592454,48.148245755528805
107,0.279344000565634,3.1604114059653092,3.439755406530943
108,0.08074888067187636,5.368180949908678,5.448929830580554
109,3.8067536575615315,4.558219996711932,8.364973654273463
110,6.2942754820603435,4.261842602594724,10.556118084655068
111,4.266516388836642,3.5471789649983028,7.8136953538349445
112,3.1143263581334897,0,3.1143263581334897
113,0,3.1448916933512416,3.1448916933512416
114,7.27874613623195,2.164537715577426,9.443283851809376
115,0.673091038740625,0,0.673091038740625
116,5.775843168191132,3.7752692266703827,9.551112394861516
117,0,43.38535333314889,43.38535333314889
118,4.1077401199583505,34.92114755186619,39.02888767182454
119,0,42.837822934363494,42.837822934363494
120,5.952735662510726,39.162186140276724,45.11492180278745
121,3.6269350305661137,33.30881322326803,36.93574825383415
122,2.4551174782007426,41.04460448514646,43.4997219633472
123,9.844397415288652,44.36184234830698,54.20623976359563
124,0,43.41653658420736,43.41653658420736
125,31.52059303913459,4.412676258547192,35.93326929768178
126,40.88915880931688,9.639162920208214,50.528321729525096
127,38.28523722680044,3.2874957454383917,41.57273297223883
128,34.57311601455379,2.802860494498565,37.37597650905236
129,46.50575640575542,0,46.50575640575542
130,43.842943592934844,8.266791205294787,52.10973479822963
131,38.573770653118686,7.135276565086633,45.70904721820532
132,6.3106936009173165,7.468019498832833,13.77871309975015
133,0,0,0
134,0,0,0
135,0.2660755389191418,0,0.2660755389191418
136,3.670102041254048,1.39566575222072,5.065767793474768
137,0,2.0429574445192227,2.0429574445192227
138,6.2870084720892665,4.481588447205834,10.7685969192951
139,3.6686889368404927,0,3.6686889368404927
140,0.4668345428531331,0,0.4668345428531331
141,5.003787097509212,36.16155822974122,41.16534532725043
142,0,39.236502892697864,39.236502892697864
143,2.561382936762919,35.85034843316815,38.41173136993107
144,4.235272264324687,37.61347979700689,41.848752061331574
145,5.6995763081189885,43.302590321702475,49.00216662982146
146,6.875326628816004,41.78481032873776,48.66013695755377
147,4.306884889938308,46.16985297472159,50.4767378646599
148,0,1.3152897105456032,1.3152897105456032
149,51.67657875906848,3.085547253957754,54.76212601302623
150,45.44406570245531,6.373025020947153,51.817090723402465
151,35.013829457523016,0,35.013829457523016
152,41.5015955067567,3.8578442657941645,45.359439772550864
153,38.666449151225166,1.2966220956187686,39.96307124684393
154,36.12987598819956,0,36.12987598819956
155,34.243202213560004,10.834104693886378,45.077306907446385
156,38.21807310165264,4.61211762500049,42.83019072665313
157,0,0,0
158,0.7731936210789883,0,0.7731936210789883
159,0,2.1188941355587363,2.1188941355587363
160,12.143011851522083,0.06539969871220386,12.208411550234286
161,2.1943430402804682,2.8199615181243094,5.014304558404778
162,4.751262552981576,0,4.751262552981576
163,1.4450778529753414,0,1.4450778529753414
164,0,32.74256945299672,32.74256945299672
165,0,42.012661250964626,42.012661250964626
166,2.2947375919652986,40.3066204659108,42.6013580578761
167,4.96168317206579,45.540748180633315,50.502431352699105
168,0,37.54937075905414,37.54937075905414
169,6.311250508355237,38.256756164551796,44.56800667290703
170,5.431074506947407,39.866336191263244,45.297410698210655
171,0,9.840811901731247,9.840811901731247
172,0.9076677786084912,2.150271656179409,3.0579394347879
173,0.623477299391874,1.1628776956167255,1.7863549950085995
174,34.777474597718424,7.130703024831227,41.90817762254965
175,42.511144765739665,0,42.511144765739665
176,35.76383442327626,0.6709654437187078,36.434799866994965
177,39.12574130462476,0.7701075032200806,39.89584880784484
178,33.874164775760406,1.186199908150546,35.060364683910954
179,35.21351434792732,0,35.21351434792732
180,47.37280233501583,2.8253355025921993,50.19813783760802
181,39.74213814020986,5.965289679742549,45.70742781995241
182,4.546261852579333,2.386590462264148,6.932852314843481
183,0,0,0
184,0.9025720511151205,3.27056433989993,4.17313639101505
185,10.359987015648144,4.53029023393524,14.890277249583384
186,0,9.070745710269378,9.070745710269378
187,2.904962996865053,4.852470513584688,7.757433510449741
188,0,48.720034906253304,48.720034906253304
189,2.4210552260173777,40.13072869515405,42.55178392117143
190,1.2689463325119008,38.8834930439858,40.1524393764977
191,2.620020043188964,37.83451133188406,40.454531375073024
192,2.615504080259851,40.31405929571513,42.929563375974986
193,1.0623761310616162,41.240793879814916,42.303170010876535
194,1.118947791594852,35.78692898424887,36.905876775843716
195,0,1.7302453092507482,1.7302453092507482
196,3.656370891841669,0,3.656370891841669
197,5.26795852785574,7.553634087768216,12.821592615623956
198,1.215540813685788,3.4407202208922936,4.6562610345780815
199,38.41749645468983,9.92932778447864,48.34682423916847
200,41.268036179504236,0,41.268036179504236
201,39.76501428445851,0,39.76501428445851
202,40.422365770950016,0,40.422365770950016
203,39.994054026162516,0,39.994054026162516
204,46.303024417235854,0,46.303024417235854
205,34.29874709668409,1.9109428808891151,36.209689977573206
206,0,3.7380953810857847,3.7380953810857847
207,7.696357146548818,2.873421675575292,10.56977882212411
208,8.054733933726432,0,8.054733933726432
209,0,0,0
210,3.7843385231243043,4.162327516463765,7.94666603958807
211,4.87416740385926,41.693332014931,46.56749941879026
212,0,37.424265929635254,37.424265929635254
213,2.5397423164823767,45.712223688323455,48.25196600480583
214,5.429555348200284,48.193490118721996,53.62304546692228
215,0,39.791485026496076,39.791485026496076
216,0.7633839841064634,41.013566322656466,41.77695030676293
217,3.4174950401383226,39.51983301733434,42.93732805747266
218,9.145391061059886,0,9.145391061059886
219,1.2428619980125584,0,1.2428619980125584
220,4.670550100173856,4.888059276197071,9.558609376370928
221,2.4158202681649663,0,2.4158202681649663
222,0,9.64199293629705,9.64199293629705
223,0,0,0
224,39.81614809320294,0,39.81614809320294
225,43.300899584344336,1.8689364698465956,45.16983605419093
226,35.364366890421145,0,35.364366890421145
227,39.315216013762715,0.34710443752109965,39.66232045128381
