hour,activity
0,87.91045655730272
0.5,68.2207254416709
1,73.45755721165827
1.5,72.72785218170968
2,55.261219404304214
2.5,98.11050959762983
3,82.71745125677486
3.5,69.04640844773189
4,79.06147500948906
4.5,74.86963667645821
5,5.60890937771057
5.5,6.32333769441903
6,2.6075124337358755
6.5,6.592966497878658
7,5.9857869113370175
7.5,9.082763864171781
8,6.70015452246535
8.5,0
9,4.839314691878708
9.5,0
10,1.315775224766759
10.5,3.3942009742610137
11,8.266042621416094
11.5,4.00322772850284
12,1.8705827965263508
12.5,53.25087134318489
13,38.94202181744488
13.5,32.20068013782971
14,52.43782880845283
14.5,52.797209743241964
15,65.0569296354514
15.5,66.18257982500836
16,40.01119921561097
16.5,66.59906384402973
17,49.583914304022244
17.5,3.6139078398719784
18,1.7092700128583243
18.5,0.8654479175234928
19,0
19.5,2.538256289856589
20,4.1740947282632845
20.5,3.231028438767666
21,10.14173069263135
21.5,4.793494948075693
22,0
22.5,2.3401111424968315
23,6.1599715876193955
23.5,5.257809107634531
24,4.305020998543106
24.5,10.977217991426087
25,59.307551070651755
25.5,83.18225860964516
26,94.02425351892927
26.5,78.2964753111487
27,82.10546729254241
27.5,83.05044612281998
28,86.71376592591068
28.5,95.32268062019986
29,79.34207381004724
29.5,79.30541298784348
30,4.350039266687923
30.5,8.337580930830217
31,2.8940779253605906
31.5,4.091528772974978
32,0
32.5,4.871274577274835
33,3.276508906058274
33.5,0.004365498858074801
34,1.889276430475873
34.5,4.67776036390808
35,2.5564311196429754
35.5,5.941514143592358
36,4.581808374485222
36.5,2.2854109121258275
37,1.2077819728212034
37.5,52.43713302859603
38,30.095595205837338
38.5,44.57302263766072
39,43.30219259101098
39.5,44.92468850886893
40,40.76728709781172
40.5,64.84799421677644
41,41.56335301686995
41.5,37.5093068752625
42,50.6139796554367
42.5,1.5724816048369998
43,13.549577451168217
43.5,3.569196451758697
44,1.1776007153419745
44.5,5.775596279735787
45,2.1180621920718674
45.5,5.341447590817636
46,1.610518714052108
46.5,1.632659680700434
47,8.634581527637543
47.5,0
48,2.4986018461594446
48.5,1.4149466265270028
49,3.851424671113384
49.5,4.946060397293742
50,97.60266787101351
50.5,78.75079091309765
51,73.9985921966056
51.5,82.50121464276123
52,66.73462292326403
52.5,67.85866025982392
53,87.62574408213499
53.5,99.26608862012614
54,68.39938534557253
54.5,86.81632428739958
55,2.6308859791030166
55.5,2.4469899842026646
56,3.7329800204568917
56.5,3.281308482529267
57,3.3195183697692663
57.5,8.452167009945155
58,0
58.5,5.241613935842009
59,6.2736936688565255
59.5,5.523424776090771
60,1.4218733106230448
60.5,1.3121136777607947
61,5.973238949362474
61.5,3.686829641489082
62,8.388559864023396
62.5,49.67307082555416
63,41.021786464834584
63.5,36.70008814565719
64,43.27164053467567
64.5,56.65439362794915
65,54.18614463903903
65.5,36.79933784411394
66,45.911926596477805
66.5,52.18017553390642
67,35.287561966682844
67.5,10.415444768515126
68,0
68.5,7.3437932198271225
69,4.7262558491950095
69.5,2.343666390044943
70,6.483470443174682
70.5,8.217898043574074
71,4.172292590985159
71.5,1.3873761358957042
72,0
72.5,4.474067194358405
73,4.111540938934148
73.5,4.449171728664125
74,0
74.5,4.6636219271309045
75,66.30501259962597
75.5,62.80668673395918
76,68.33814993440043
76.5,88.25661843133285
77,94.90623408257922
77.5,85.70372606164923
78,87.54055284587264
78.5,87.74567132988798
79,85.69703811809748
79.5,8.803763718473272
80,4.3768266879946065
80.5,4.133926931441149
81,5.2437161441532
81.5,4.778312145039449
82,1.969307584643237
82.5,7.512077601713807
83,0
83.5,9.340723184510475
84,6.683633299193943
84.5,3.063797827265699
85,6.580542249617892
85.5,5.143620905704818
86,0.21772305382674872
86.5,6.384190213278267
87,39.22570080751925
87.5,43.407247032636256
88,48.566336838387556
88.5,39.58483383870632
89,61.80243163282946
89.5,47.247717261270815
90,37.70484216901321
90.5,39.897964537658275
91,26.866205295049323
91.5,32.159829751348006
92,5.188125997925078
92.5,2.2842747114417454
93,0
93.5,0.9555886503934445
94,8.658173799600114
94.5,4.021736132413065
95,4.131864753078749
95.5,7.066266709180553
96,0.48556216411802167
96.5,0.6035832231267575
97,8.408356511765703
97.5,4.771801825669436
98,7.900260210860827
98.5,12.960630323947283
99,10.430117337916354
99.5,82.21730029674875
100,94.10372504638013
100.5,62.651559988821155
101,63.283198514426594
101.5,75.11572276724914
102,74.14855467320437
102.5,79.07810711152317
103,77.93934822037886
103.5,84.25143644533951
104,84.9411331535442
104.5,1.2441240615102824
105,0.3518142759328944
105.5,1.7413243627990886
106,1.5462982745318317
106.5,5.464965417020803
107,6.667010928622127
107.5,2.63672547383655
108,7.948219531747374
