condition,measure
A,60.45253871536779
A,60.457347810804045
A,52.61958342579408
A,58.40682074387581
A,53.23121786032338
A,64.93923673973117
A,38.003467878941485
A,59.226785203502786
A,44.36430753644552
A,45.986345351569966
A,47.237632153614534
A,44.00920294705715
A,54.23637122332143
A,63.56968759335768
A,58.83178351061531
A,41.48969335334319
A,50.46107305271708
A,56.405885061312965
A,60.41753603039358
A,48.00207746302525
A,48.16510302472443
A,55.28459117390125
A,50.96039319720365
A,54.983039736061535
A,56.16393771395273
A,49.18000259594263
A,41.7108420342409
A,41.99898960545434
A,48.91178363720771
A,47.65876668388527
B,46.54993866490334
B,50.556980840022305
B,53.606709624233154
B,65.32224356101081
B,62.056505405182364
B,49.10049140186694
B,48.27066432121095
B,46.06768375892186
B,54.29012558467451
B,57.18362818721159
B,62.205439581252016
B,40.07416587416312
B,51.93461947607647
B,62.22757505286373
B,59.07539875038543
B,59.55770330126006
B,55.146002094976446
B,64.40668630676407
B,50.73517118885404
B,53.0578498572719
B,46.59143455975973
B,59.17954266599727
B,51.056087132946494
B,57.91375273360172
B,58.93887863217047
B,54.39061941452152
B,54.170007250432924
B,52.48252814018706
B,50.01274654495754
B,60.02804033096577
C,56.66998727420916
C,56.62337780503832
C,74.59639097761165
C,68.03874368198717
C,61.19180121118772
C,69.39239366722227
C,55.76090341925833
C,54.34085354331766
C,66.48812166768545
C,68.02550817741786
C,59.94470588924931
C,60.134409008541205
C,79.05854395868988
C,63.79697973346626
C,66.86212532222565
C,49.389109736172756
C,72.34241953946844
C,67.34992309487188
C,49.17509853092864
C,54.22544202117554
C,62.68377272639481
C,63.88168014320823
C,68.30639385921816
C,57.98171806297335
C,59.50488791584774
C,67.75384023952637
C,54.76631965128431
C,67.0930514647599
C,63.183697330531196
C,49.95981576035932
D,69.79865770465821
D,57.568951342989735
D,61.39015747091567
D,65.2010349831066
D,68.40186865981362
D,66.6733382348155
D,62.80191882026743
D,57.59871170761641
D,63.97407314791242
D,68.06057958359295
D,58.38359318810059
D,65.32671091065568
D,57.18841883435636
D,75.73939781514362
D,58.95933382499757
D,58.41238991834102
D,62.82742019887173
D,58.25775419610396
D,64.35925387760174
D,61.06691760434619
D,62.08335909082262
D,61.902577355783976
D,61.099552417136074
D,53.994524867560685
D,56.41193316232258
D,62.76073442160718
D,64.69422790409034
D,60.65681744509578
D,55.489668805362946
D,52.93339986584844
