hour,Consolidated1,Consolidated2,Consolidated3,Consolidated4,Consolidated5,Consolidated6,Fragmented1,Fragmented2,Fragmented3,Fragmented4,Fragmented5,Fragmented6
0,0,2.264576815434698,4.2471538810142935,1.9188635856032916,5.648690091179077,0,1.7645436114921313,6.0989542592361445,26.178706074088552,39.54079070316047,0.4558487577971344,27.890774595211123
1,0,1.8956751118651807,1.0639255983083684,4.675325304543268,0,4.172293308910936,0,1.9122717489000771,10.724149386251074,30.29097956510311,8.879476339721943,7.8027661629274725
2,3.8950620065123482,2.9925080841134895,0.4067556232416838,0,1.3496199336222396,2.5278716325264137,0.24150678710020346,9.735690196324565,14.597467139617308,0,9.36727354863431,0
3,1.4025436473379465,0,4.576750956214069,2.3619747700292546,0.15479654590794545,5.105860985370806,2.7483475792640526,4.010937713911567,0,2.447159002236205,6.515551490375662,25.425311126087067
4,2.4202875514000866,3.9771527515796548,3.8021265069904704,0,2.66931538174636,2.2221358268002667,6.7898922084389355,0,8.46979765743476,7.023561958225347,11.976300430392266,3.5264830186890297
5,0.03935827060996244,5.421641867303107,1.5655872223614293,1.6298708862416658,2.674483769951954,3.941518291552243,0,0,0.6224906219519521,34.92008152492113,29.40438210458268,26.15641800085891
6,0.9393966671702632,2.551895995372139,0,2.6849534964162536,1.3848933355601902,4.543641140518602,4.910670244186073,30.081927461449908,4.654723536609893,28.90330274102529,31.376539407408128,36.938924965120606
7,5.73356190827378,2.977202136606899,3.3286219319300097,0.03608971734766353,2.6472921760801116,2.6481853994794653,36.44890514345474,14.622150779621595,6.101763282492296,0.3593458409931962,25.82691689784761,0
8,71.60837984559785,83.46812864231211,91.08312887930887,108.6770679954177,82.17298551430828,86.55107817895995,37.303476955500514,3.5386371552294644,31.72308450462565,31.257418853592377,50.52402270723581,52.97502667145224
9,89.72947823410979,86.21601603629529,82.79685894834164,84.60358147890972,82.24432435716845,81.79537525363543,49.574591702430745,17.821405834571216,36.655328813656354,42.764885235456944,42.16124086107452,46.442558241312234
10,86.14093100959275,86.51907380390618,72.45380407761544,103.49064329274115,91.26935290836128,88.99465660032982,0,59.53267145769892,25.582543154306485,45.21299591759013,54.334794289126414,54.87439141804407
11,76.45039652929489,105.06511901331726,75.92677960989175,95.92756744472644,82.7461860791459,76.17491223984138,42.88147140123236,20.71804207165416,32.866531918224624,27.033246689315988,36.964323986946766,36.48795174891652
12,76.57641192777308,85.49735614118777,76.36963830861235,84.59153256830582,83.93520965835835,92.2898432335205,19.263411540841304,13.374301866103457,18.568185194977687,37.183084539295265,49.658912075229445,62.95990570328513
13,89.23610461170752,83.19821718957488,91.75635947603394,84.11887385491264,83.94304415595586,87.46616381392576,41.00835762782747,40.44352270906649,39.65742819186877,1.7546481329438244,61.962908152264106,8.829161975377044
14,78.69476582324533,84.6606873633666,73.73541917775886,80.53660085621934,83.39921510971101,86.45873445503346,7.0927582847386175,41.799440938930054,58.76800416727118,17.311957321336763,30.506775566883086,40.88844658683918
15,77.69151618073002,96.36039364890706,81.91403127558563,88.83107477542904,80.96555199325314,81.76282657669418,42.95402083140839,19.85211886795816,20.588661318649578,20.198028983699324,36.39016115540879,46.20349777108288
16,80.8164485649554,77.94506257740525,81.22188886543447,89.16084435419819,98.84454165045156,71.75903861354362,0,48.14973825489919,30.6333513837463,39.08706135337434,52.83447702174355,50.88884246947512
17,78.20734099423399,99.48581637025737,94.90641295646677,70.39038584549802,73.33471001083,87.14670342764828,53.26326739496936,49.5639655255696,36.796369937554246,9.600824490583456,36.92294511247975,36.9395042788696
18,4.467655597781302,2.9929486739125903,0.4331157911718664,3.025705148554712,1.3038335687448441,3.2533107245146065,29.01989999563356,31.37816566526117,0,19.613778534182817,0,25.089177605619494
19,2.0437734229153732,1.1701333272835521,2.3177490885265115,0,0.30881895630403955,0,0,3.0448381715964445,12.170029525321915,0,8.145676707120085,25.25400262848561
20,4.008550357828535,2.03600114914438,3.3895051824769844,3.178794953265551,0,0.30414295561345317,0,1.0203850112380075,30.827867378148387,6.949641630523342,4.961742318957772,0
21,2.2247683054651017,2.3000451480895117,0.7325003273067938,0.12673308898117863,1.6265224449484663,1.8457250409478134,0,29.495893037055467,13.281246727252938,6.62440378504798,2.0051723476276972,24.876032201335125
22,3.311670880998909,2.6680041551499682,2.6749942247810705,0,2.0542204439446077,0.8562940432017754,0,0,9.03162071430155,0,0.8128200374181933,27.097114533528384
23,4.282575754236816,0,2.754952531974811,2.266486693432471,2.7848174711840854,1.2247651617623174,3.134196170715943,40.13829492129028,0.8548439323687997,23.21729602124175,0,24.981810589607566
24,1.3092838001792906,0,3.924479917663767,1.2377294614640733,2.5872995136919616,0.18696949742604652,8.74664979049691,26.70175787842887,0,3.939190620457456,32.31602464328822,1.8693208869130293
