Ward A dose,Ward A activity,Ward A fit x,Ward A fit y,Ward B dose,Ward B activity,Ward B fit x,Ward B fit y,Ward C dose,Ward C activity,Ward C fit x,Ward C fit y,dose (pooled),activity (pooled),pooled fit x,pooled fit y
3.3800054665307684,10.160420803366648,0.8547573489507105,8.98000850073285,4.855849207743793,7.8491766835661725,3.595729501637659,7.198920800491048,8.134878417181017,8.294485789538449,6.894649577938323,6.735419158479484,3.3800054665307684,10.160420803366648,0.8547573489507105,9.98080938597198
1.717056100204708,9.176633638551664,3.3800054665307684,11.067680875713645,3.964466745570264,6.903056457576056,6.4358443944871055,10.465956322959471,8.148195897307705,9.283505386538394,9.336029613627328,9.692034999793616,1.717056100204708,9.176633638551664,9.336029613627328,7.916465078622005
2.876850966913842,10.260613582492812,,,4.634479958279894,9.86469948640929,,,7.417012250828425,6.809500287634497,,,2.876850966913842,10.260613582492812,,
1.7480834641899934,8.6137251944655,,,4.7220614221456545,9.54808790305189,,,8.538117908024724,8.557642864874152,,,1.7480834641899934,8.6137251944655,,
3.3556800470233257,11.72988770219214,,,3.595729501637659,8.159756915928982,,,7.898658381407408,10.0039314316853,,,3.3556800470233257,11.72988770219214,,
2.408980482537369,9.596678898106273,,,5.448899597024219,8.877042754047963,,,7.9006572660590075,7.788424480957828,,,2.408980482537369,9.596678898106273,,
2.460875043616017,10.605989140256584,,,5.115035070408834,8.928179096119703,,,8.532565916934951,8.527577265168137,,,2.460875043616017,10.605989140256584,,
2.4814710302130605,9.23143103537452,,,4.412899079258144,8.676034514052981,,,8.37178149850421,8.826618960223566,,,2.4814710302130605,9.23143103537452,,
3.087303683273553,10.605697387191048,,,4.467878211655507,6.885178822841022,,,9.336029613627328,9.626230616459942,,,3.087303683273553,10.605697387191048,,
2.956686939081308,10.649733404288115,,,4.480707237645391,7.021151775470564,,,8.383782407142549,8.17120495549085,,,2.956686939081308,10.649733404288115,,
1.5184456990895043,10.597290999795993,,,5.066547660072599,8.907705258179945,,,7.743043967078107,7.441847251401131,,,1.5184456990895043,10.597290999795993,,
1.40357548732186,9.59374855114076,,,4.52615060020942,7.621338752094731,,,8.537107426063665,8.003595786530525,,,1.40357548732186,9.59374855114076,,
2.6269394003023994,12.318114576852079,,,4.416500908172609,8.773085452617229,,,6.894649577938323,6.168979832789332,,,2.6269394003023994,12.318114576852079,,
1.4847164361600116,10.140797535105376,,,5.220059847112903,9.398934361830824,,,8.551266219389708,8.87266138149444,,,1.4847164361600116,10.140797535105376,,
2.02208039846636,9.72652626867442,,,5.533254028696714,9.997587200832413,,,7.373729223477267,7.981650372771842,,,2.02208039846636,9.72652626867442,,
2.35947450751937,10.92606043863848,,,4.398775591170275,8.237254965166906,,,8.14292234089887,8.753610647928422,,,2.35947450751937,10.92606043863848,,
2.661181611201632,10.927264542149873,,,4.229683622812157,8.051446527318667,,,9.177901224420255,8.703948261474789,,,2.661181611201632,10.927264542149873,,
1.750486786498441,9.728113225304929,,,5.536867930251876,9.57038222835129,,,7.548772284365188,7.9338367839657655,,,1.750486786498441,9.728113225304929,,
2.503830027235371,9.873061505072087,,,5.415873582310682,9.311762266536732,,,7.379240385699747,6.157683333217234,,,2.503830027235371,9.873061505072087,,
1.6891456346598852,9.679413117519879,,,4.554584505480943,8.827680021940223,,,8.300014880160726,8.155054846365596,,,1.6891456346598852,9.679413117519879,,
2.5408217134489073,10.491076430801188,,,4.39590661809073,7.439559342322092,,,7.784730470539935,7.4367292110936845,,,2.5408217134489073,10.491076430801188,,
