hour,activity_delay,activity_advance,day,onset_freerun,onset_delay,onset_advance
0,78.96369964212614,76.75130900080427,0,18,18,18
1,72.61422194705264,66.76947540282119,1,18.3,18.3,18.3
2,77.55841192139685,79.7685115286549,2,18.6,18.6,18.6
3,86.97220605279651,62.339464031404546,3,18.900000000000002,18.900000000000002,18.900000000000002
4,70.6382747288413,55.207161309201965,4,19.200000000000003,19.200000000000003,19.200000000000003
5,0,3.654790977453496,5,19.500000000000004,19.500000000000004,19.500000000000004
6,0.7111949081971844,0.8040194098683999,6,19.800000000000004,19.800000000000004,19.800000000000004
7,1.5774068240533743,2.188909963849432,7,20.100000000000005,20.100000000000005,20.100000000000005
8,0,3.1215748921666715,8,20.400000000000006,28.400000000000006,18.056854249492385
9,7.349477904206963,1.4031019195711032,9,20.700000000000006,28.700000000000006,16.700000000000006
10,2.882862599313139,5.871338145941114,10,21.000000000000007,29.000000000000007,15.828427124746197
11,6.6691623539896465,2.249076239544012,11,21.300000000000008,29.300000000000008,15.300000000000008
12,6.017845769731812,10.919005249008674,12,21.60000000000001,29.60000000000001,15.014213562373104
13,9.766872995275587,1.9958665528121147,13,21.90000000000001,29.90000000000001,14.90000000000001
14,4.319758350402709,8.616378396770134,14,22.20000000000001,30.20000000000001,14.907106781186558
15,7.611268996205544,0,15,22.50000000000001,30.50000000000001,15.00000000000001
16,2.721993303591165,3.91646483759577,16,22.80000000000001,30.80000000000001,15.153553390593284
17,4.069005636075486,4.754741710214293,17,23.100000000000012,31.100000000000012,15.350000000000012
18,77.16874631511178,72.05382371135727,18,23.400000000000013,31.400000000000013,15.57677669529665
19,75.54935191129391,59.69889062184892,19,23.700000000000014,31.700000000000014,15.825000000000014
20,65.50554564679227,87.41255411032179,20,24.000000000000014,32.000000000000014,16.088388347648333
21,73.37728735770344,66.85561237098031,21,24.300000000000015,32.30000000000001,16.362500000000015
22,73.21668390256742,63.389604996492814,22,24.600000000000016,32.600000000000016,16.644194173824175
23,98.00676886455928,89.9264445198709,23,24.900000000000016,32.90000000000002,16.931250000000016
24,78.55575177511827,74.52837533723043,24,25.200000000000017,33.20000000000002,17.222097086912097
25,58.40206874343714,75.49915919547983,25,25.500000000000018,33.500000000000014,17.515625000000018
26,52.47766910839359,69.26172194139282,26,25.80000000000002,33.80000000000002,17.81104854345606
27,63.70500030280907,70.30905401238017,27,26.10000000000002,34.10000000000002,18.10781250000002
28,64.01718349272464,74.7393730605512,,,,
29,71.72250064272151,68.86025103620398,,,,
30,9.037342794361077,0,,,,
31,0,5.16269669945578,,,,
32,1.0662836385515893,6.315800918464735,,,,
33,3.132382449158664,5.245570622431083,,,,
34,4.48542660459501,0.7756999467553669,,,,
35,8.979605144710497,6.019768890281494,,,,
36,0,6.970999219056903,,,,
37,3.394708806097033,2.0266966690974986,,,,
38,1.7097353697369706,3.6341188509133615,,,,
39,7.42858544867453,3.3532487736249084,,,,
40,7.182612241740157,4.847341611353555,,,,
41,0,2.641346230298524,,,,
42,8.913445852418878,8.087746557560493,,,,
43,65.16732300189545,85.0703320041574,,,,
44,73.93098958995078,80.52165467075334,,,,
45,61.94773064174904,88.64538452555496,,,,
46,72.17785451435124,84.65728291186414,,,,
47,78.30788027851655,80.860704852597,,,,
48,73.2231260114477,80.18801228658634,,,,
49,70.03818811748766,56.41513708996129,,,,
50,72.41593358520191,57.49700274955053,,,,
51,54.652913088285416,76.66706977835113,,,,
52,73.79458477377648,80.52068473415072,,,,
53,68.87580094554988,75.51555978430123,,,,
54,2.966749373995195,5.499080889737262,,,,
55,4.916409415090103,2.4755898130255845,,,,
56,2.5625607197131304,5.789349223101067,,,,
57,7.359375457069451,2.0733081187875837,,,,
58,8.756343213403479,5.354503175221556,,,,
59,5.813360145002106,4.183367793111585,,,,
60,7.290711715542246,0,,,,
61,3.537368273688472,3.882045255766845,,,,
62,0,4.43457665958841,,,,
63,0,1.7927964834758137,,,,
64,5.5200502061151795,6.3673433427017745,,,,
65,2.4530128157445787,6.231658509603764,,,,
66,2.7328566104335987,1.2604334779637716,,,,
67,71.10443944088377,67.48383168489217,,,,
68,73.87697109927069,98.45475045413934,,,,
69,64.76515796185922,46.44225856293276,,,,
70,65.98307600118387,77.56746449343781,,,,
71,88.64889787992107,89.86352482646545,,,,
72,65.30349772231192,65.85528755176935,,,,
73,72.13166743310086,84.30158871200408,,,,
74,80.70417763992515,67.3493921588167,,,,
75,76.30330010677798,70.21698462235686,,,,
76,78.56930660032299,83.87349531861264,,,,
77,67.19452216801315,80.23265981023876,,,,
78,0,2.6962959300237976,,,,
79,0.8246008783125163,10.79615311266748,,,,
80,2.025707570116421,1.1466367911538247,,,,
81,8.291078954145622,5.572771540379835,,,,
82,3.7195667394356824,2.664506427290731,,,,
83,0,4.735265665840574,,,,
84,4.998975970700202,2.8169850031311547,,,,
85,7.084727002993347,0,,,,
