hour,entrained,masked
0,74.38339133861564,62.68647799571342
1,68.56303678479824,79.14535611595966
2,73.09521092794711,61.70328466261387
3,81.72452221506347,84.41038484651283
4,66.75175183477118,79.52659991465465
5,0,3.3142734837926615
6,0.7111949081971844,5.681383226084076
7,1.5774068240533743,4.59590814228413
8,0,2.394068812355648
9,7.349477904206963,1.4210146933644006
10,2.882862599313139,6.2718853719974685
11,6.6691623539896465,0
12,6.017845769731812,5.064093376208932
13,9.766872995275587,4.823922592989062
14,4.319758350402709,1.6803027960114658
15,7.611268996205544,3.102678976890478
16,2.721993303591165,1.9351157606310312
17,4.069005636075486,4.57944349652256
18,72.73801745551913,72.0514973571481
19,71.25357258535276,86.45323286521663
20,62.04675017622625,67.16985458982111
21,69.26251341122814,69.823226269303
22,69.11529357735347,80.25302721507624
23,91.83953812584599,98.31409127912364
24,74.00943912719174,78.97170676879426
25,55.53522968148404,74.33278953748233
26,50.104530016027454,65.7399941062984
27,60.39625027757498,62.31222668435987
28,60.682418201664255,68.61670959825611
29,3.9306251606803775,0.5962100587619181
30,9.037342794361077,0
31,0,3.612008377098247
32,1.0662836385515893,3.9493216540448954
33,3.132382449158664,4.888335261983898
34,4.48542660459501,0.778568585103999
35,8.979605144710497,1.2011091632927564
36,0,5.856822318078029
37,3.394708806097033,8.59870146721661
38,1.7097353697369706,4.464621789288579
39,7.42858544867453,2.2708724585367808
40,7.182612241740157,6.600248457782521
41,0,0.8044532280637089
42,86.01596812553588,67.43354742263456
43,61.73671275173749,85.07892099687407
44,69.77007379078822,78.5593852871189
45,58.78541975493662,61.26445056507363
46,68.16303330482198,66.5940205804845
47,73.78222358864018,68.40018146579068
48,69.12119884382706,51.75903209753048
49,66.20167244103037,65.73602750194769
50,68.38127245310176,66.19425498749666
51,52.09850366426163,92.00136144615246
52,69.64503604262843,75.34295462800026
53,3.2189502363874696,1.2314235423756186
54,2.966749373995195,2.8860759797775217
55,4.916409415090103,0
56,2.5625607197131304,5.159786881583454
57,7.359375457069451,2.677676273637836
58,8.756343213403479,5.779030405707644
59,5.813360145002106,9.452382927484216
60,7.290711715542246,4.132958944145234
61,3.537368273688472,4.742939420291979
62,0,6.3586312056480185
63,0,4.951057516581928
64,5.5200502061151795,6.244746869930973
65,2.4530128157445787,8.283658365601019
66,63.35380757158986,75.99750243315248
67,67.1790694874768,61.61369731653557
68,69.72055684099814,81.81940824005086
69,61.36806146503761,68.2609887694273
70,62.484486334418555,81.86264211610454
71,83.26148972326098,71.71853313595042
72,61.86153957878592,67.24322567939348
73,68.12069514700913,71.48712786260916
74,75.97882950326472,59.60919158540011
75,71.94469176454649,63.93994319087028
76,74.0218643836294,64.74805853956367
77,2.7986305420032895,3.223402222678025
78,0,1.9233728153027365
79,0.8246008783125163,5.705480351815251
80,2.025707570116421,6.211499888964012
81,8.291078954145622,0
82,3.7195667394356824,6.708779555335237
83,0,7.227934262508365
84,4.998975970700202,6.887921039018719
85,7.084727002993347,6.586460108815783
86,2.088738713164541,0
87,10.142288777060061,5.370790360521945
88,2.5758607698338043,3.2648738780212683
89,1.1178153879006056,6.024000603193631
90,58.336832646829095,65.89261797111745
91,67.74166511615651,69.89648330340276
92,72.42429862261432,46.700511413580465
93,72.1403761052057,63.38502192934501
94,61.17031928487383,72.83634582361599
95,51.05457656585308,82.54295836220192
96,93.71679745474037,82.66995931994104
97,68.93348833239223,74.53794348167847
98,90.22081220575113,71.38971117336989
99,89.09537731015466,73.34677704451738
100,68.26239286887066,58.12318660302192
101,2.3662082023420843,5.515206918542604
102,0,5.83257793251756
103,2.7358457405665106,6.240690856762214
104,1.3108613337301636,2.143400753462155
105,7.730955862415705,3.8740707515043318
106,2.3371393794443884,4.843513583732247
107,9.858880145706358,1.5794994026542812
108,1.703422528871502,9.416023495846261
109,5.155103683488374,4.644388692474699
110,0,1.9013239290384747
111,0,6.413903570515625
112,4.737711824691607,2.6671219115211686
113,4.634861947258806,7.314700111320992
114,58.19865643713331,62.00735241274592
115,78.94690246433879,66.46860793802756
116,78.03316974512198,63.6000667260396
117,73.73974321099283,59.27350051555583
118,60.49575944576587,65.51186259203747
119,59.92884310793687,77.35293296440891
120,66.32558695984801,45.025683970244415
121,70.09679700663258,81.65797078420421
122,77.8797500157155,88.05571227096817
123,79.42656270670712,89.90266198806086
124,69.736508658782,54.574603304213916
125,7.103599376728091,0.8872158087662729
126,3.4231932582492517,3.8556300657949083
127,0,4.569654420627129
128,6.710623733001069,0.8190568566029302
129,4.2952531582501425,6.053018504502678
130,1.2114019716011932,7.430584025664618
131,3.5408962479046027,3.088584293490179
132,4.174370765230572,1.6637055841809492
133,8.06089744259722,5.164633935856817
134,3.1088506678014496,1.3483396265304148
135,0.9448441570211319,0
136,6.38149893481312,3.724974993041529
137,3.1997819006334787,7.11320071990211
138,73.59540066565712,70.9115261787071
139,70.02199811104649,72.98223509736462
140,90.02019220485948,68.6363933736081
141,56.53847528665181,47.52618004574751
142,62.413801388534274,69.41424474543253
143,62.83879354080924,75.3307807533375
144,82.13149645460484,49.03083154318797
145,65.42284239242751,48.96432592630178
146,57.52353489061704,57.80672119239189
147,71.17252786180528,70.87772679061477
148,60.628729346296666,73.69309282565594
149,0.40612714676422446,6.688171424047787
150,0,0.9799581886900595
151,1.7354457705018267,1.3630943550352854
152,7.2946659126299265,6.912230934681499
153,5.817154797330767,0
154,0.05829592890689206,0.609865443213276
155,0.397409105331497,3.1444942031315772
156,1.785140921186707,1.9761424850271245
157,6.573980081510277,1.7186249364116435
158,2.652154977660743,2.4063824820291764
159,2.81639291715733,5.8660689183080486
160,4.099946901667308,6.558169599948422
161,0,8.118721454954654
162,71.5845191567721,76.47197417915663
163,83.41438128669603,55.976365318726906
164,72.04376071454826,63.512806236898626
165,67.50745899187318,69.01143344306213
166,80.24448334188334,78.65815909078081
167,67.64077323473335,68.51585187644368
168,73.38552818119774,85.60477536512275
169,50.74707254439762,54.18939132681666
170,77.91703597446663,82.40789647886729
171,75.4979765487288,64.4161500249412
172,57.324990688624425,60.80396646001186
173,2.8029349307991573,0.8216972189265448
174,3.8833012879194126,4.117234329746352
175,3.6718616945164078,4.166279090174094
176,2.1763979975528236,3.055751555039933
177,5.758438811406422,3.1437931113684456
178,0,4.076044532693752
179,4.459873064081743,6.883023548649845
180,6.503706938143839,5.835211768845918
181,7.357826025781776,1.9867837483674333
182,4.06432480714919,6.582403213963316
183,1.933511965346968,2.848988400403505
184,6.371865821218762,1.8660168565549142
185,10.77277829366351,0.9632113058545588
186,76.18192038473363,57.75443583991974
187,82.32643394143093,84.60707898741492
188,52.407783002712634,74.74084170974011
189,51.01991405649519,61.75979713992519
190,71.32956684503976,67.6896790405207
191,67.02322451128617,72.52888687649049
192,1.0298897368924833,2.0986889725662374
193,6.508007962078516,0.6428297592030523
194,6.837754154194734,3.1900952779106495
195,3.7075799193447145,3.681168214290909
196,8.954254996654385,2.658296108692885
197,4.981098728393397,0.5030187313161654
198,2.56842421956667,5.774769500350955
199,0.5050617414775704,3.952264017786723
200,6.837386142564027,3.687185581812945
201,0,3.078046093791962
202,7.010417996409185,2.0080349095938423
203,2.9725422356218836,0.7203556540260769
204,65.72159914827299,76.0818060913332
205,63.566355130472765,67.65385985682792
206,62.61878708893448,81.21593313949224
207,67.45033103978976,71.69289396592157
208,49.45649326079952,71.27802343860331
209,78.50094358827783,71.7323951479118
210,67.43167656228987,62.69777253475258
211,75.91097283746713,56.37989986220999
212,79.30158116448361,58.2428827376035
213,51.138124094746274,54.53937180994549
214,62.499863849270625,72.21004736577285
215,6.581371552248758,1.091129468241478
216,5.680841569375736,0
217,3.1826473256765864,6.6827159570468115
218,2.940868955977143,7.21719810961481
219,2.67889011840139,7.166628623281268
220,2.7490732384884025,2.7935984428635012
221,6.421358254358715,9.169999680421972
222,0,10.759594064559266
223,0,3.5141413030552426
224,0.06551228819769861,2.4266958071103844
225,4.621540127698938,3.4799120759113946
226,5.662767912203821,2.524969110863684
227,6.148207863238639,7.213947705788478
228,70.31005815159399,56.143052420576616
229,69.23162734071948,59.921818707428415
230,84.01568918357978,94.61663141212124
231,70.9785101721832,71.5320630886913
232,72.56624096894804,75.94501013097425
233,71.38531468271894,58.49405258585678
234,83.62880112474714,67.10591412762705
