hour,noise 1,noise 2,noise 3,noise 4,noise 5,noise 6,noise 7,noise 8,noise 9,noise 10,noise 11,noise 12
0,34.31833561872442,44.76696422878439,34.95505433295568,30.44304847667348,35.937214285859056,31.87324114008213,28.816654957039788,64.99887088817482,35.32512349228666,72.59987753705308,77.15936951993848,46.20623790623784
1,38.82333421264924,74.63932022735928,57.88305081595735,29.623562385909942,28.57374711101702,84.51300480450891,39.210979709319794,29.45077580399308,39.96885677979437,35.14173996421552,45.56852999141077,56.52332425424413
2,55.26971326663762,84.48217701920649,75.64467872262237,26.072098788878332,19.72619609463126,20.823821825518174,66.49392643209714,48.399604814115406,49.29781983370777,60.50949816035998,72.60404142394032,80.90471772414872
3,21.42345717106826,28.8433930211838,76.68244906807413,42.84687523699316,42.14832980017181,15.466358921696969,0,40.023418021972354,42.68294630866277,48.592491969617,26.289996648956524,42.56854304494576
4,12.845400215361469,26.875035357587407,23.18401674284549,35.479920002174175,21.469936797300964,24.511297310427505,53.472344083460314,64.92013157356172,34.000912272257935,35.92202781073419,35.782230541969824,8.638344776610289
5,30.405089164385636,62.990769517917684,41.41724942231843,48.12959100877265,47.59870393041715,7.393267936345822,40.80406451849763,37.22250006791353,89.12410524926881,34.74722948175162,43.427235647684654,17.80429391279186
6,27.339508196935725,26.422159968175553,21.25537136663146,56.48472857784131,23.57897391344251,50.10209824912423,65.1207245247577,35.493007371289615,88.61636872665032,67.09202994756097,13.925722146415765,30.51594669276096
7,26.282781598801854,67.69663765022102,50.233875614494735,55.72198123693007,57.24949173763024,19.936486683326166,41.02679846306819,49.88890440237091,31.895033388532255,53.60606957315744,34.74402110999439,34.73372005437591
8,28.695996111989132,32.4792294443646,31.681142700542082,40.020026631439485,47.457804278838225,52.15608463492317,63.75273618088164,23.282745703270905,19.55106042607718,45.62413291119559,58.527293509208285,37.710656675015116
9,53.45969140281412,41.62694178726574,45.117873070663286,15.897500733929814,24.514224351817184,16.072020423402993,56.07225177089258,41.688576535454416,55.82781316966194,49.11265662456341,59.22630906784373,18.805997398370394
10,34.66817271384752,41.62383804903858,45.75602419899633,48.96481886030152,15.571907104584096,40.70522542288607,35.37301595653566,62.34404772709927,26.037613188175765,36.757961382686844,51.89158373437497,46.03605851941039
11,41.537555064201555,31.510065656779243,57.485279822790446,42.65775449860918,6.793145596843928,39.635873076692235,39.92677985231838,30.248555281580998,45.3423994750673,63.69867889409809,47.49528743071394,43.85923247661076
12,77.37458392158183,29.766625780814586,34.93934339485326,42.69075072603859,46.91318515213701,55.79422887515929,15.166249783288325,39.425625757559814,33.513309227882566,43.434454539735896,35.716661276054474,0
13,41.692145647091635,57.410668752846355,18.036743645320207,42.89742619286937,49.3828367649635,39.15614231178424,57.956044408397176,28.87440439899659,41.57606150766363,54.79157605251906,69.56584172079482,49.35420574039428
14,43.85067636038904,76.66335464563679,52.92123165105981,23.090234594963885,38.44069043423372,31.667728239699347,30.44581581904337,4.5192525329392765,42.14588460181363,51.581490928254695,53.836213496086344,73.76871065920932
15,50.76776700671156,46.03469364830881,26.136418151910696,62.71567711138551,58.05082009698367,42.28081022556879,46.34525919783981,48.452269346216525,29.616322025425266,35.70873454097346,51.76039820404314,46.5968714144526
16,60.414342261526144,47.917184710803234,44.42771731140284,35.65576387557249,34.300437551398105,49.43142910355866,10.7347378075578,57.40677267144869,41.01481618856618,48.71422193909157,11.172621486572037,25.614528133569188
17,28.143524820344254,42.36431137351999,55.1355969390348,38.35836209429617,26.135644058089024,49.5488449562076,31.78402760479557,7.874463989147657,32.978698858382984,75.74785651982057,29.531204186795186,36.76146410199118
18,21.470580163228906,33.21872167524481,19.52046382340563,36.19343344808883,44.46128876210416,9.478859880499172,37.3023241231848,14.623057032218615,47.11220795822834,48.97140442425987,14.010818134318143,13.048372920361395
19,58.59062447244063,2.1992397274346303,11.884663086664368,45.64422987080176,62.06644070069276,29.47264791703992,26.017505719661166,58.29497157175834,59.60399325256439,49.16798165320299,67.79038145709987,48.827661651219486
20,45.1008199968885,65.67668680373178,55.385887587528686,25.547895248376733,33.704820212883234,36.798112424244835,48.52244126995146,31.36268350278769,33.85325396156852,94.05809868109944,41.60424191537275,61.708107985570926
21,59.89245925170934,57.55311985759123,30.874326591675548,0,31.694822392042802,29.06061067576588,24.95172053979743,43.120555560098424,57.06163849209933,20.402157363596945,43.5933907780149,28.137324330963626
22,39.468637089067066,50.201864599162406,50.36804954179814,10.890107077616626,55.38147351829352,79.83438069335915,17.134116877940652,51.98443759903251,51.620147769115,11.129804651922143,51.616570773243645,69.12236926671503
23,48.804400301251206,69.49589185220563,39.491409010220856,45.06871344729663,39.699995472562804,0,60.6786971316171,74.181998698565,64.8712819538241,47.878178512521565,15.862272181560236,39.1416250311976
24,30.97523596172691,48.50044586373728,58.65277522512098,43.91544396339334,27.646421928488834,55.87182477796035,28.7004714660169,11.82762923301076,11.658471291238463,47.73942069662314,83.67755111242448,43.59104433857948
25,66.6323951365369,27.411497136403895,45.983255850267184,9.730149087343346,28.48314827985618,55.34106554926148,35.30041725024925,34.279292631768364,67.8907025974445,16.741839366342845,43.65221711036297,82.9076109861305
